Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,B,113,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,B,115,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,B,144,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,C,63,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,C,118,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,C,175,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,D,75,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,D,178,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,D,309,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,A,1401,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,A,23557,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,A,30125,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,B,1187,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,B,23607,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,B,23920,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,C,2075,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,C,2215,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,C,23687,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,D,23875,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,D,24049,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,D,24616,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,A,34,0.21672,"S, Mises",quad,quad,5.0
OSSO-4,A,97,0.21672,"S, Mises",quad,quad,5.0
OSSO-4,B,65,0.177904,"S, Mises",quad,quad,5.0
OSSO-4,B,77,0.177904,"S, Mises",quad,quad,5.0
OSSO-4,C,10,0.114005,"S, Mises",quad,quad,5.0
OSSO-4,C,40,0.114005,"S, Mises",quad,quad,5.0
OSSO-4,D,73,0.0891673,"S, Mises",quad,quad,5.0
OSSO-4,D,87,0.0891673,"S, Mises",quad,quad,5.0
OSSO-4,A,26,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,A,83,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,A,95,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,B,63,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,77,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,117,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,122,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,C,10,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,C,44,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,C,55,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,D,4,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,65,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,72,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,76,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,A,133,0.00258522,"U, Magnitude",quad,quad,1.0
OSSO-4,A,1393,0.00258522,"U, Magnitude",quad,quad,1.0
OSSO-4,B,1078,0.00421766,"U, Magnitude",quad,quad,1.0
OSSO-4,B,1405,0.00421766,"U, Magnitude",quad,quad,1.0
OSSO-4,C,231,0.00555762,"U, Magnitude",quad,quad,1.0
OSSO-4,C,1592,0.00555762,"U, Magnitude",quad,quad,1.0
OSSO-4,D,1451,0.00120608,"U, Magnitude",quad,quad,1.0
OSSO-4,D,1452,0.00120608,"U, Magnitude",quad,quad,1.0
OSSO-4,A,525,0.00258587,"U, Magnitude",quad,quad,0.5
OSSO-4,A,526,0.00258587,"U, Magnitude",quad,quad,0.5
OSSO-4,B,5347,0.00421865,"U, Magnitude",quad,quad,0.5
OSSO-4,B,5987,0.00421865,"U, Magnitude",quad,quad,0.5
OSSO-4,C,774,0.00555908,"U, Magnitude",quad,quad,0.5
OSSO-4,C,5372,0.00555908,"U, Magnitude",quad,quad,0.5
OSSO-4,D,1232,0.00120652,"U, Magnitude",quad,quad,0.5
OSSO-4,D,1233,0.00120652,"U, Magnitude",quad,quad,0.5
OSSO-4,A,525,0.215015,"S, Mises",quad,quad,0.5
OSSO-4,A,526,0.215015,"S, Mises",quad,quad,0.5
OSSO-4,B,5347,0.17891,"S, Mises",quad,quad,0.5
OSSO-4,B,5987,0.17891,"S, Mises",quad,quad,0.5
OSSO-4,C,774,0.105857,"S, Mises",quad,quad,0.5
OSSO-4,C,5372,0.105857,"S, Mises",quad,quad,0.5
OSSO-4,D,1232,0.0894067,"S, Mises",quad,quad,0.5
OSSO-4,D,1233,0.0894067,"S, Mises",quad,quad,0.5
OSSO-4,A,1401,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,A,23557,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,A,30125,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,B,1187,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,B,23607,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,B,23920,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,C,2075,0.105029,"S, Mises",tri,lin,0.25
OSSO-4,C,2215,0.105029,"S, Mises",tri,lin,0.25
